Designation,H Mag,Mean Mag,Number of Observations,Arc,Period,Amplitude,g - r,g - i,r - i,Axial Elongation,Reliability,Step11 ambiguous_flag,Step11 family id,Step11 family source,Step11 family bootstrap frac,Step11 strong bootstrap override,Boot harmonic winner flag,Boot harmonic winner flag suppressed,Boot harmonic winner P hr,Step11 global ranking method,Step11 family score role,Additional periods (hr),Additional periods n,Additional periods dBIC,adopt_oe_ratio,adopt_bic_gap_2P,adopt_boot_frac_2P,adopt_boot_frac_base,adopt_morph_force_2p,adopt_prefer_2P,adopt_prefer_2P_reason,adopt_delta_BIC_2P_vs_P,adopt_amp_ratio_2p,adopt_amp_ratio_ok,adopt_combined_ev_2p,adopt_boot_veto_2p,needs_human_review_2p
2025 MA19,18.715742187763208,22.663985365853655,428,9.033777905092592,8.86586381763734,0.8419915186050242,0.43338457712586376,0.49385470235366213,0.06047012522779838,2.1716838788398545,ambiguous,False,STEP8_1,step8,0.8925,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,4.433,1,0.00,0.17346022143823253,49.78142178202165,0.1625,0.73,True,True,morphology-forced 2P (oe_ratio=0.173 <= 0.2),49.78142178202165,0.804549209542642,False,False,False,False
2025 MA45,20.283300745187585,22.500738095238095,119,12.043866203703704,1.633066603892028,0.5408754844304613,0.41598370862897127,0.6357819827867246,0.21979827415775333,1.6456981986622083,ambiguous,False,STEP8_1,step8,0.9825,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,0.817,1,25.10,0.258371579966808,0.0,0.915,0.0675,False,True,final post-adoption 2P sanity override,-25.10306174424494,0.9997983378024882,False,True,False,False
2025 MA46,18.577030825147144,23.131196969696973,291,12.043866203703704,5.866385014350144,0.5634980114492172,0.5190264538761866,0.721769481414686,0.20274302753849938,1.6803478884529772,insufficient,True,STEP8_1,step8,0.495,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.611|2.933|5.222,3,4.20|6.30|13.12,0.3699067408974942,0.0,0.25,0.245,False,True,"combined-evidence 2P v54 (dBIC=-6.30, oe_ratio=0.370, amp_ratio=1.020)",-6.303219514963928,1.0197476894030757,False,True,False,False
2025 MC34,19.006321183696283,23.01818115942029,307,12.046838993055555,5.072353260233918,0.8084306517731215,0.5529256356575729,0.8050087188481427,0.2520830831905698,2.105582491688823,ambiguous,True,STEP8_3,step8,0.5525,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,4.184|10.145,2,6.08|35.65,0.5141288831727061,35.6512145454044,0.0075,0.545,False,False,None,35.6512145454044,0.8608091671562552,False,False,False,False
2025 MD38,18.58303021761492,22.803186813186816,427,12.046303101851851,5.924411361566486,1.2672832281377044,0.4205457422703667,0.5331498849338132,0.11260414266344654,3.2130189816593218,reliable,False,STEP8_1,step8,0.975,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,,,,,False,False,None,,,False,False,False,False
2025 MD40,19.70481284883951,23.351962025316453,392,12.048317604166666,4.0045187189844205,0.6938346587947019,0.4016687604079934,0.523072659829765,0.12140389942177165,1.8946712429943031,insufficient,True,STEP8_1,step8,0.5549999999999999,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.185|2.002|4.370|4.811,4,1.25|7.58|16.82|32.98,0.23999341874253152,0.0,0.3525,0.2025,False,True,"combined-evidence 2P v54 (dBIC=-7.58, oe_ratio=0.240, amp_ratio=1.078)",-7.582435266264497,1.0776850918172798,False,True,False,False
2025 MD67,18.797636761397566,22.355639639639637,217,2.128767800925926,6.722424634502925,0.508406639922976,0.5128347527527666,0.7254912146211403,0.21265646186837373,1.5972123366597735,insufficient,True,STEP8_4,step8,0.5825,False,True,False,3.361212317251,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,4.687|3.361,2,18.38|36.41,0.7446287039758126,0.0,0.285,0.2975,False,True,BIC-dominant 2P physical promotion,-36.406260362744945,0.9685715912571242,False,True,False,False
2025 MD76,18.832839090152838,23.021071428571428,391,12.039843796296296,5.50869802811477,0.7284510537080354,0.4720757714539481,0.6561605565649131,0.18408478511096504,1.9560521149596068,ambiguous,False,STEP8_2,step8,0.7175,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,14.318|11.017,2,29.09|29.75,0.23357411436879105,29.744980756273776,0.065,0.6525,False,False,None,29.744980756273776,0.9219970727015552,False,False,False,False
2025 ME15,20.721966082295964,22.95495302013423,325,12.041342499999999,4.029042357414448,0.9910009618442859,0.6232114286527946,0.762414482882086,0.13920305422929147,2.4911529034536337,reliable,False,STEP8_3,step8,0.89,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.8217429158950597,,,,False,False,None,,,False,False,False,False
2025 ME24,18.953917513998263,23.323355555555555,367,12.035501898148148,2.9399699293186314,0.3261467972890918,0.5151698199057044,0.7147125036470925,0.19954268374138806,1.350388462996941,insufficient,True,STEP8_1,step8,0.5625,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,1.470|1.385|2.617|1.566|1.309,5,0.00|1.27|20.31|24.74|28.55,0.417141791909565,0.5913244385587291,0.3075,0.255,False,True,soft intra-family 2P promotion,0.5913244385587291,0.9757163721479738,False,False,False,True
