Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
1995 UW34,17.172138975306897,22.675833333333337,181,2.1272978935185187,19.45 / 5.67,LS_peak=19.45 h; Adopted=5.67 h,19.44958074074074,5.6727943827160505,4,,,1.0999296933527307,0.2973489646900233,0.3133772682582254,0.016028303568202,2.754050359541901,reliable,0.9675,2,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1995_UW34,C:\Users\vikas\Downloads\ls_outputs\1995_UW34\step14_final_summary.csv
1996 XZ3,18.7502015087609,23.174144,303,12.046303101851851,0.63 / 0.82,LS_peak=0.63 h; Adopted=0.82 h,0.6307308959791534,0.8222147869020817,2,1.6444295738041634,10.449339293773903,0.1079044858354701,0.5566218730500729,0.702016513498041,0.145394640447968,1.1044900157436852,ambiguous,0.535,7,8,0.822:0.535; 1.333:0.258; 13.179:0.055; 0.142:0.055; 6.589:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1996_XZ3,C:\Users\vikas\Downloads\ls_outputs\1996_XZ3\step14_final_summary.csv
1998 WH46,18.60288518260728,23.2178,101,12.043866203703704,0.17 / 0.17,LS_peak=0.17 h; Adopted=0.17 h,0.1681761680808081,0.1681761680808081,2,0.3363523361616162,3.740463963446871,0.1750891155755716,0.5840640215031776,0.7823068788500755,0.1982428573468979,1.1749939927007296,insufficient,0.4225,8,8,0.168:0.422; 3.198:0.165; 0.191:0.158; 5.093:0.100; 4.359:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1998_WH46,C:\Users\vikas\Downloads\ls_outputs\1998_WH46\step14_final_summary.csv
2001 SL7,18.84728852591932,22.573444444444444,176,4.117578506944445,5.90 / 5.90,LS_peak=5.90 h; Adopted=5.90 h,5.899813980099503,5.899813980099503,2,11.799627960199006,0.5598190887701548,0.5759039364182268,0.640949204512058,0.8454439237775375,0.2044947192654795,1.699658124490432,insufficient,0.9325,5,8,5.900:0.932; 3.973:0.052; 46.504:0.007; 7.945:0.005; 2.995:0.003,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2001_SL7,C:\Users\vikas\Downloads\ls_outputs\2001_SL7\step14_final_summary.csv
2002 AG213,17.34849432607427,23.245733870967737,257,9.033812997685184,0.25 / 0.49,LS_peak=0.25 h; Adopted=0.49 h,0.2474664139756821,0.4949328279513642,2,,,0.1242187835250598,0.5428638728114805,0.7244738916685165,0.1816100188570359,1.1212114221456844,insufficient,0.5275,8,8,0.495:0.527; 6.342:0.190; 4.589:0.102; 5.147:0.070; 18.853:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_AG213,C:\Users\vikas\Downloads\ls_outputs\2002_AG213\step14_final_summary.csv
2002 RS229,18.83973963842717,23.16013636363636,277,9.034807708333334,10.39 / 18.65,LS_peak=10.39 h; Adopted=18.65 h,10.38732383233533,18.65250623655914,2,37.30501247311828,1.0026687350700172,0.2579964000083862,0.5851317672553051,0.7636344082636732,0.1785026410083681,1.2682315704544167,insufficient,0.3,8,8,18.653:0.300; 37.305:0.180; 7.198:0.158; 14.396:0.135; 20.775:0.077,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_RS229,C:\Users\vikas\Downloads\ls_outputs\2002_RS229\step14_final_summary.csv
2002 RS281,19.54447723584117,23.407902777777775,141,6.020462604166666,15.62 / 13.52,LS_peak=15.62 h; Adopted=13.52 h,15.620659729729727,13.519635321637423,2,27.03927064327485,7.7696361696329745,0.3236889363462214,0.440448983364913,0.5498114547075978,0.1093624713426848,1.347334946800786,insufficient,0.27,7,8,6.760:0.270; 13.520:0.188; 0.550:0.163; 10.414:0.122; 0.882:0.115,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_RS281,C:\Users\vikas\Downloads\ls_outputs\2002_RS281\step14_final_summary.csv
2002 XO123,18.66507674583439,22.39919565217392,207,2.1268370023148147,4.21 / 0.23,LS_peak=4.21 h; Adopted=0.23 h,4.209821695303551,0.2295405870963712,2,0.4590811741927425,16.046485658711276,0.0785966401052791,0.464432831668212,0.6021484907735903,0.1377156591053783,1.075074735701962,insufficient,0.375,3,8,0.115:0.375; 18.149:0.360; 0.230:0.265; 0.194:0.000; 1.122:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_XO123,C:\Users\vikas\Downloads\ls_outputs\2002_XO123\step14_final_summary.csv
2003 PC10,18.778083239826984,22.691865168539326,368,6.0150385995370375,16.98 / 16.98,LS_peak=16.98 h; Adopted=16.98 h,16.98363839869281,16.98363839869281,3,33.96727679738562,6.796776544494492,0.4342927465635502,0.584285474534596,0.7736347552028526,0.1893492806682566,1.4918223132494215,reliable,0.4875,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2003_PC10,C:\Users\vikas\Downloads\ls_outputs\2003_PC10\step14_final_summary.csv
2003 SD476,18.38290082705817,22.477176470588237,37,2.126376701388889,19.44 / 0.47,LS_peak=19.44 h; Adopted=0.47 h,19.44115841269841,0.471981880539499,3,0.943963761078998,21.633375902770723,0.3324567705967716,0.5265525500777279,0.6126669371117082,0.0861143870339802,1.3582593653927728,insufficient,0.35,6,8,0.472:0.350; 1.180:0.200; 2.474:0.125; 5.103:0.122; 19.441:0.113,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2003_SD476,C:\Users\vikas\Downloads\ls_outputs\2003_SD476\step14_final_summary.csv
